country,city,revenue,transactions
Greece,Babakan Baru,2306.58,10
Poland,Igbo-Ukwu,2509.81,10
Netherlands,Belle-Anse,3146.11,10
Greece,Campoverde,2473.56,10
Indonesia,Sirdaryo,3239.84,10
Sweden,Stanley,1631.92,10
China,Gōdo,1989.64,10
Uganda,Changgucheng,2802.17,10
Brazil,Anin,1714.51,10
China,Guihing Proper,2619.64,10
Latvia,Yorii,2587.48,10
Sweden,Bukal,2174.93,10
Indonesia,São Vicente,2358.80,10
Poland,Pryazha,2523.94,10
Greece,Inda Silasē,2307.25,10
Russia,Hengjing,1918.47,10
Russia,Estreito Câmara de Lobos,2770.18,10
Argentina,Longsheng,2472.59,10
Portugal,Huanghai,2936.98,10
Indonesia,Uchiza,1833.98,10
Indonesia,Kasungu,2469.27,10
Ivory Coast,Quezon,2314.93,10
Indonesia,Salerno,2252.39,10
France,Miaoya,2618.21,10
Russia,Russas,2091.31,10
Pakistan,Gubuk Daya,2314.17,10
New Caledonia,Aswan,2056.06,10
Pakistan,Vostryakovo,2372.62,10
China,Daegu,3091.77,10
China,Wangxian,3011.42,10
Cuba,Yuexi,2674.21,10
Czech Republic,São Sebastião do Caí,2981.13,10
United States,Tinabogan,2801.07,10
Portugal,Pires do Rio,2954.25,10
China,Mae Chan,2462.38,10
Mexico,Richmond,2057.77,10
China,San Luis,2791.52,10
Russia,Stockholm,2778.40,10
South Africa,Yacheng,3035.44,10
Indonesia,Ageoshimo,2537.03,10
China,Limbaan,2562.02,10
Netherlands,Ergong,3102.92,10
Indonesia,Diego de Almagro,2721.51,10
Finland,Az̧ Z̧a‘āyin,2808.05,10
Belarus,Ngamba,1353.33,10
Greece,Oceanside,3682.52,10
Portugal,Petaling Jaya,2654.32,10
Kenya,Danzao,2510.46,10
China,Batasan,3213.26,10
Indonesia,Krasnohrad,2868.36,10
Malaysia,Borino,2541.66,10
Bosnia and Herzegovina,Saint Joseph,2033.53,10
Brazil,Langtang,3201.06,10
Brazil,Mora,1666.10,10
Greece,Křenovice,2353.70,10
Malaysia,Al ‘Awjah,2848.46,10
Ukraine,Xiniqi,2405.86,10
Argentina,São Sebastião do Caí,2835.51,10
Argentina,Machinga,2419.26,10
Nigeria,Rontu,2444.53,10
Philippines,Houmt Souk,2886.97,10
Mongolia,San Miguel,2980.17,10
Brazil,Sukadami,3143.22,10
Indonesia,La Ceja,3351.06,10
Brazil,Majie,2883.93,10
Venezuela,Dimataling,3335.62,10
Czech Republic,Xinfa,2208.32,10
Finland,Taizhou,2478.47,10
Indonesia,Lyaskelya,2112.56,10
United States,Neqāb,3147.28,10
Portugal,Kajar,2920.42,10
Czech Republic,Doro Oo,2923.06,10
Benin,Pagak Kulon,2068.42,10
Thailand,Pulilan,2860.38,10
Sweden,Yanjiang,2639.83,10
China,Cherepovets,3528.12,10
Ghana,Hutang,2326.48,10
Ivory Coast,Calilegua,1996.46,10
Ethiopia,Paraíso,3334.15,10
Brazil,Ambohitseheno,3069.65,10
France,Olival Basto,2394.36,10
Indonesia,Gaza,3250.96,10
China,Brongkah,2483.08,10
Greece,Angers,2353.29,10
Brazil,Nanping,3033.13,10
Sweden,Tambaú,2963.75,10
Indonesia,San Vicente,1963.97,10
Tanzania,La Dorada,2013.84,10
United States,Mont-Laurier,3406.67,10
China,Profítis Ilías,1887.99,10
Sweden,Jiumen,2665.00,10
Poland,Grazhdanka,2146.29,10
Dominican Republic,Samboan,2316.00,10
Poland,Duishan,2166.74,10
Saint Vincent and the Grenadines,Fort-de-France,2750.57,10
United States,Madruga,2191.73,10
Russia,Nanshan,2242.38,10
Russia,Huangtu,2565.33,10
Venezuela,Juuka,2880.52,10
Central African Republic,El Corpus,2026.59,10
Paraguay,Baohe,2557.39,10
China,Zhouji,3108.46,10
Philippines,Morteros,2645.31,10
China,Governador Valadares,2584.19,10
Chile,Arroyo Naranjo,2320.23,10
China,Liangzeng,3113.69,10
Greece,Muroran,2520.85,10
China,Huangxi,2447.36,10
Thailand,Otacílio Costa,3161.05,10
Philippines,Dobratice,2491.00,10
Poland,Hägersten,2744.12,10
Guatemala,Tarub,3124.70,10
China,Si Prachan,3453.29,10
France,Lagodekhi,2573.80,10
China,Il’skiy,1968.06,10
New Zealand,Buckland,2037.62,10
Albania,Sandy Bay,2855.51,10
Canada,Jiujianfang,2535.64,10
China,Pantaihambawang,2733.36,10
China,Jinshi,2257.63,10
Russia,Gabao,2441.99,10
Sweden,Arboga,2367.88,10
Indonesia,Sugcad,2069.16,10
Ukraine,Valle San Francisco,2077.54,10
China,Popovo,2045.82,10
China,Čáslav,2382.38,10
France,Aleksinac,2042.24,10
Sweden,Botou,2674.04,10
Russia,Fornos de Algodres,1876.52,10
Tanzania,Enrile,1535.07,10
China,Borkowice,1181.40,10
Ukraine,Itaquyry,2688.44,10
Portugal,Paris La Défense,2856.36,10
Lithuania,Wensu,2713.33,10
Indonesia,Cibunar,2384.74,10
China,Lianhe,2945.15,10
Russia,Rublëvo,2907.54,10
Indonesia,Lysekil,3158.82,10
China,Frederiksberg,2113.29,10
Indonesia,Kokar,3226.70,10
China,Gasan,2014.45,10
Poland,Xiaoxi,2471.36,10
Indonesia,Turtas,2955.32,10
United States,Kristiansand S,3017.74,10
Philippines,Zhongwei,1619.06,10
Russia,Guanjiabao,2818.02,10
China,Aurora,2036.97,10
Argentina,Yanmen,2640.46,10
Philippines,Pasacao,2707.23,10
China,Moycullen,3321.50,10
Portugal,Bobadela,3418.49,10
Indonesia,Daqian,2550.66,10
Ethiopia,Lyaskelya,2626.37,10
China,Kiruna,2867.77,10
Philippines,Gavião,1976.87,10
Portugal,Colquechaca,3238.69,10
Poland,Qindu,2351.30,10
Canada,Zaolin,2633.53,10
China,Gonghe,2848.83,10
Brazil,Ampanihy,2849.78,10
China,Cisalak,1919.90,10
China,Gapluk,2018.81,10
Argentina,Lodja,2436.79,10
Indonesia,Gojō,2338.54,10
Saudi Arabia,Synya,2367.59,10
Portugal,Dongjiahe,2665.47,10
Macedonia,Fotolívos,2465.68,10
Iran,Heshe,2630.87,10
United States,Padre Las Casas,2169.17,10
Niger,Ligang,2044.74,10
China,Ksour Essaf,3096.10,10
China,Kafr Kannā,2975.31,10
United States,Yongping,2515.60,10
China,Sanok,2192.13,10
Poland,Petawawa,2579.68,10
Russia,Nubma,2653.96,10
China,Sathing Phra,2501.13,10
Russia,Tarnogskiy Gorodok,2768.07,10
Portugal,Tabūk,2360.11,10
Brazil,Jarabacoa,2190.30,10
Indonesia,Bulri,2211.42,10
Sweden,Pyt-Yakh,1903.19,10
Indonesia,Morrito,2477.71,10
Greece,Corail,1978.66,10
Indonesia,Mourelos,2322.37,10
Philippines,Tall Abyaḑ,3330.51,10
Canada,Kachar,2561.27,10
Malaysia,Tegallega,3147.61,10
Japan,Campamento,2668.70,10
Sweden,Hadabei,2886.37,10
Brazil,Solingen,2287.23,10
Kosovo,Łużna,2969.42,10
Colombia,La Esperanza,3113.36,10
Indonesia,Geshan,2256.42,10
United States,Santa Cruz de Guacas,3285.40,10
China,Georgiyevka,2133.77,10
China,Isfahan,2136.52,10
Netherlands,Balabagan,2396.00,10
Finland,Suure-Jaani,2089.48,10
China,Keren,2408.16,10
Philippines,Gereykhanovskoye,1952.64,10
Sweden,Rustenburg,2742.79,10
Indonesia,Warburton,2111.77,10
Vietnam,Zernograd,2569.64,10
Democratic Republic of the Congo,Pereleshino,2506.52,10
China,Tupsan,2822.08,10
China,Tasovčići,2466.74,10
China,Sakassou,1927.53,10
Tajikistan,Sorinomo,2846.65,10
Indonesia,Hong Kong,3137.40,10
Indonesia,Briceni,2880.50,10
Argentina,Pital,2773.02,10
Philippines,San Jose,2064.87,10
Greece,Svetlyy,2466.47,10
Brazil,Grenoble,3033.52,10
China,Bassa,2375.54,10
China,Ilek,2652.17,10
Indonesia,Tungipāra,2013.82,10
China,Jingmao,2193.36,10
United States,Linshi,2414.83,10
Sweden,Cantilan,1963.70,10
Indonesia,Usevia,2614.62,10
Tanzania,Oodweyne,2836.47,10
China,Al Mukallā,3168.12,10
Czech Republic,Smyshlyayevka,2319.55,10
Czech Republic,Bendan,2211.11,10
Uganda,Brvenica,2377.26,10
Mongolia,Sidenreng,3030.20,10
Japan,Černelavci,2267.30,10
Canada,Gur’yevsk,1869.09,10
France,Al Marsá,2052.71,10
Afghanistan,Borūjerd,2292.61,10
Indonesia,Itaitinga,2992.73,10
China,Garnich,1504.77,10
China,Hegarmanah,2390.94,10
China,Cilentung,2909.45,10
Indonesia,Pervomayskoye,2272.63,10
South Korea,Bua Yai,2971.40,10
Portugal,Langqi,2654.21,10
China,Paris 02,2405.96,10
Ukraine,Trondheim,2604.34,10
Niger,Awilega,2226.17,10
Brazil,Lębork,1834.21,10
Brazil,Samamiya,2386.59,10
Russia,Shangpai,2571.88,10
China,Zyuzino,2245.73,10
France,Zaojiacheng,2578.85,10
China,El Paso,2477.98,10
Czech Republic,Tangjiakou,2519.05,10
Brazil,Baoluan,2708.01,10
Greece,Buturlinovka,2325.12,10
Afghanistan,Krujë,2541.38,10
Democratic Republic of the Congo,Locminé,2738.04,10
Qatar,Chaloem Phra Kiat,2385.50,10
Canada,Xinzhaiping,3127.67,10
Portugal,Pyrgetós,2550.10,10
Indonesia,Volta Redonda,2855.42,10
Indonesia,Zagazig,2972.96,10
China,Dagu,2725.51,10
Brazil,Lis,2087.24,10
China,Dibba Al-Hisn,2994.56,10
Ukraine,Gelin,2025.62,10
Pakistan,Brasília de Minas,2633.67,10
Lithuania,Shenavan,3017.82,10
Indonesia,Miandrivazo,2439.02,10
Philippines,Zhongshangang,2158.14,10
Gambia,Cikiwul Satu,2456.75,10
Botswana,Cataguases,2622.88,10
Morocco,Nantou,2833.42,10
France,Sokolniki,2162.06,10
China,Gul’cha,2595.90,10
Finland,Simpang,2658.30,10
Czech Republic,Hunkuyi,2667.64,10
Greece,Bantal,1657.96,10
Indonesia,Koło,2691.13,10
Morocco,Kozloduy,2479.22,10
Poland,København,1830.25,10
Japan,Jurm,2125.70,10
Armenia,Jialu,2724.85,10
Colombia,Shangbahe,2418.31,10
China,Badou,2654.92,10
Indonesia,Lombog,2703.92,10
China,Ban Phaeo,3537.04,10
Indonesia,Shuanghekou,2824.89,10
Russia,Ochla,2368.06,10
Portugal,Trablice,1949.09,10
China,Meliau,1780.97,10
Indonesia,Saint Louis,1865.53,10
China,Padangpanjang,2744.51,10
Brazil,Zhoujiang,3240.47,10
Portugal,Kalibaru,2491.12,10
Serbia,Sredno Konjare,2155.40,10
Djibouti,Mangli,2011.79,10
Yemen,Joconal,1778.60,10
China,Iwamizawa,3370.92,10
China,Skellefteå,3087.41,10
Canada,Afaahiti,2225.03,10
Russia,Khallat Ḩamāmah,2796.47,10
China,Bellevue,2784.15,10
Sweden,Frydek,2328.61,10
China,Xinzhuang,2648.40,10
Colombia,Naze,2577.57,10
Canada,Tugusirna,1892.43,10
Indonesia,Dimitsána,2778.34,10
Philippines,Los Angeles,2091.55,10
Philippines,Golek,2655.58,10
Croatia,Ḩabīl al Jabr,1950.47,10
United States,Nuyno,2148.19,10
China,Muskegon,3191.49,10
China,Pasirtujuhpuluh,2144.38,10
France,Longtan,2530.33,10
Russia,Spitak,2966.49,10
China,Sukorejo,3283.89,10
Brazil,Tarangnan,3297.84,10
China,Semypolky,2736.07,10
France,Kabulusan,3443.15,10
Indonesia,Pehčevo,2437.44,10
Poland,Santo Domingo Oeste,2873.41,10
China,Minggang,2788.84,10
Hungary,Ledeunu,2422.46,10
Greece,Diego de Almagro,2577.04,10
China,San Lucas Sacatepéquez,2349.16,10
Indonesia,Khairpur Nathan Shāh,3571.10,10
Venezuela,Machetá,2225.46,10
Poland,Malbork,1946.60,10
Gabon,Asíni,3288.06,10
France,San Francisco,2666.54,10
China,Sangpi,2651.03,10
Serbia,Shamkhor,3173.71,10
Sweden,Shibi,1912.02,10
Philippines,Drajak,2509.61,10
Portugal,Sampangan,2913.73,10
China,Randuagung,2457.78,10
Nigeria,Uzlovaya,2834.62,10
Armenia,Taganrog,2489.61,10
Grenada,Alvide,2231.91,10
Sri Lanka,Teminabuan,3226.05,10
Georgia,Djibo,2040.24,10
South Korea,Xiagong,2824.78,10
Ukraine,Jiaotang,2570.42,10
Kenya,Tyret’ Pervaya,3038.69,10
Norway,Vessada,2619.01,10
Chad,Bukuru,2452.12,10
Pakistan,Ambarakaraka,2339.73,10
Indonesia,Saint-Brieuc,2788.06,10
Ukraine,Nouâdhibou,2241.26,10
Finland,Karangtanjung,2801.54,10
France,Fort Wayne,2453.00,10
Honduras,Saint-Maixent-l'École,3053.67,10
China,Ejido,1951.21,10
Bosnia and Herzegovina,Ōkawara,2767.37,10
China,Isahaya,2449.58,10
Colombia,Huayang,2758.05,10
China,Bourges,2332.42,10
Ethiopia,Plakhtiyivka,2282.62,10
Czech Republic,Garoua,2116.79,10
Portugal,Kamyzyak,2103.15,10
Brazil,Panaytayon,3040.07,10
Indonesia,Baru,2021.26,10
Philippines,Sīrīs,2579.49,10
Portugal,Lindian,1913.34,10
France,Embi,1987.68,10
Iran,Uritsk,2312.05,10
United States,Mayo Belwa,2260.86,10
Philippines,Houston,2879.91,10
Ukraine,Mtsensk,2467.34,10
Indonesia,Ragay,2614.45,10
France,Bélabo,1711.44,10
Japan,Kiarajangkung,2765.43,10
Uzbekistan,Dinskaya,2216.35,10
Indonesia,Kuttu,2061.34,10
China,Foz do Iguaçu,2505.48,10
France,Pendembu,2722.82,10
Indonesia,Ferkessédougou,3383.94,10
Indonesia,Wukou,2052.68,10
Honduras,Utama Wetan,2634.83,10
South Korea,Xibër-Murrizë,2977.69,10
Angola,Gosë e Madhe,2447.52,10
Netherlands,Františkovy Lázně,2953.74,10
Indonesia,Newlands,2733.83,10
Argentina,Nihaona,2135.18,10
Russia,Tuapse,2812.05,10
Russia,Rancagua,2042.86,10
China,Karpushikha,2043.01,10
Indonesia,K’anak’erravan,3242.29,10
China,Ongabelen,2898.06,10
China,Bodega,2503.56,10
Latvia,Bohus,3116.09,10
Portugal,Sukahening,2623.98,10
Portugal,Dārchulā,2873.07,10
Philippines,Cishan,2266.01,10
Indonesia,Yao’an,2473.09,10
Poland,Koua,2197.57,10
Brazil,Xueshan,2774.56,10
Indonesia,Nguigmi,2398.61,10
Brazil,Yashiga,2898.47,10
Mauritius,Itaguaçu,2456.54,10
China,Navashino,2178.67,10
China,Guaduas,2407.00,10
Laos,Ergong,2416.54,10
Philippines,Charata,1919.13,10
Poland,Khon Buri,3616.93,10
China,Brunflo,2184.62,10
Brazil,Kebonsari,2811.72,10
Indonesia,Nerk’in Getashen,2146.26,10
Finland,Richmond,2399.15,10
China,San Vicente,2264.48,10
Czech Republic,Gilowice,2253.61,10
United States,Bagan,2369.85,10
Equatorial Guinea,Arenas,2428.82,10
Indonesia,Qingjiang,2995.59,10
China,Lamawan,2485.33,10
Croatia,Tamansari,1686.44,10
Philippines,Kagal’nitskaya,2403.15,10
Mauritius,Labé,2017.12,10
Kenya,Vito,2146.63,10
China,Guoxiang,2830.37,10
South Africa,Shangyuan,2130.48,10
Vietnam,Cangshan,2575.40,10
Dominican Republic,Iñapari,2372.91,10
Ukraine,Buri,2364.23,10
China,Wangcungang,2040.34,10
United States,Caihua,4005.98,10
South Africa,Jiancheng,2975.74,10
China,Vân Canh,2701.28,10
Ukraine,Tomorlog,2150.69,10
Canada,Shuangjiang,2236.05,10
Greece,Kanal,2128.32,10
China,Longquan,2061.80,10
Russia,Đắk Mâm,2074.25,10
Czech Republic,Strogino,2513.14,10
Venezuela,Shilong,2145.96,10
Yemen,Parintins,2267.46,10
United States,Borås,1409.84,10
China,Białołeka,1982.16,10
Indonesia,Unden,3424.00,10
China,El Hermel,3166.86,10
Indonesia,Danglang Hudong,2746.38,10
Israel,Nowshera,2634.24,10
Indonesia,Naurskaya,2061.91,10
Argentina,Kokagax,2385.29,10
China,Shahrak,2197.28,10
China,Hägersten,2303.68,10
Poland,Zaqatala,1871.37,10
Finland,Cachipay,2431.56,10
Sri Lanka,Lupane,2009.12,10
Luxembourg,Lyon,3212.26,10
Indonesia,Palanit,1854.21,10
Greece,Lille,2776.19,10
Philippines,Ombarade,2854.02,10
Indonesia,Belyye Berega,1916.29,10
Malaysia,San Antonio,2515.95,10
Zambia,Leubatang,2871.30,10
Kenya,Isawa,1965.13,10
Canada,Metz,2311.61,10
China,Palaiomonástiron,2288.08,10
Brazil,Tit Mellil,2543.73,10
Russia,Auriflama,2953.91,10
China,Tanūmah,3122.73,10
Portugal,Dongchuan,2541.35,10
Indonesia,La Sarrosa,3042.19,10
Bulgaria,Guariba,2497.82,10
China,Saransk,2649.06,10
Portugal,Amsterdam Nieuw West,2202.40,10
Guatemala,Da-an Sur,2117.61,10
China,Neochóri,3220.44,10
Ukraine,Carpenter,3231.56,10
China,Castelões,2221.01,10
Japan,Pedregulho,2408.99,10
China,Condong,2484.83,10
Afghanistan,Tampa,3040.84,10
Sweden,Dongshangen,2154.29,10
China,Barroco,2974.67,10
France,Santa Maria do Souto,2504.31,10
China,Alhos Vedros,2485.31,10
Sweden,Nova Iguaçu,2475.89,10
Indonesia,Zaoshi,3548.86,10
Ukraine,Al Başrah,2135.96,10
Albania,Gadzhiyevo,3043.24,10
Ethiopia,Banjar Bali,2004.93,10
Kazakhstan,Bei,2267.21,10
China,Xishan,2528.16,10
China,Teixoso,2388.70,10
Canada,Fushi,2826.65,10
Poland,Mechrá Belqsiri,3055.75,10
Malaysia,Talnakh,2598.74,10
China,Youdunjie,1974.28,10
Indonesia,Zhenjiang,3006.15,10
United Kingdom,Goascorán,1556.97,10
China,Kuching,2386.01,10
France,Tlučná,2620.82,10
Peru,Byala Slatina,1606.33,10
Russia,Carrascal,2921.97,10
United States,Alamar,2733.57,10
Costa Rica,Bachuan,1990.29,10
Ukraine,Nanhe,2562.43,10
China,Quanshang,2142.36,10
Afghanistan,Grand Rapids,3357.55,10
Sweden,Ikata-chō,2582.88,10
Canada,Järfälla,2731.97,10
United States,Stráž,2621.96,10
Poland,Kama,2260.64,10
Sweden,Babakanlapang,3025.14,10
Nigeria,Hoopstad,2469.11,10
Israel,Ciwaru,1936.03,10
Benin,Lupon,2267.31,10
China,Jeong,2742.34,10
Brazil,La Tuque,2499.01,10
Portugal,Gal’bshtadt,2943.55,10
Russia,Calomboyan,1977.92,10
Colombia,Nariño,2659.90,10
Indonesia,Kidatu,2543.32,10
Ukraine,Tenggong,2200.94,10
Brazil,Longonjo,2893.58,10
Philippines,Gemuruh,2912.07,10
Dominican Republic,Chaínça,2193.52,10
Brazil,Mingguang,2707.14,10
Indonesia,Haradok,2930.35,10
Indonesia,Ismailia,2797.30,10
Indonesia,Meirinhas,2614.86,10
United States,Jiangning,2489.53,10
Indonesia,Idritsa,1877.09,10
Portugal,Al Fūlah,2480.96,10
Russia,Kostakioí,2919.69,10
Indonesia,Gelap,2394.00,10
Colombia,Pórto Chéli,2511.74,10
Morocco,Mosteiro,2785.00,10
Indonesia,Poroj,2305.57,10
Spain,El Progreso,2885.06,10
Netherlands,Kertasari,2285.22,10
China,Zwolle,3975.95,20
Tanzania,Iradan,2723.23,10
Greece,Sosnovo-Ozerskoye,2607.88,10
China,Saharna,2217.17,10
China,Pitanga,2366.78,10
Bosnia and Herzegovina,Arroyo Naranjo,1939.70,10
France,Xiongchi,2030.40,10
China,Ban Houakhoua,3784.44,10
Vietnam,Las Lajas,1696.10,10
Greece,Chinchiná,2146.49,10
Philippines,Raków,2549.61,10
Armenia,Kachia,3183.18,10
China,São Lourenço da Mata,1957.24,10
Vietnam,Longzhong,2111.64,10
China,Nove-Misto,3299.82,10
Portugal,New York City,3065.05,10
China,Huabeitun,2871.31,10
Colombia,Kitale,3015.38,10
Sweden,Tiblawan,2637.57,10
China,Fairview,2285.75,10
Nigeria,Xiaochuan,2686.82,10
Mexico,Kotabaru,2655.57,10
China,Tāfuna,2608.25,10
China,Gwanda,2816.69,10
Vietnam,Bogoria,2837.24,10
Sweden,Tocok,2809.37,10
Panama,Gazojak,2576.05,10
France,Youguzhuang,2253.62,10
Vietnam,Río Campo,1879.96,10
Japan,Taboão da Serra,2607.08,10
Portugal,Taihua,2367.21,10
China,Laventure,2775.06,10
Poland,Lagny-sur-Marne,2197.32,10
Cyprus,Roczyny,2643.08,10
China,Bremen,2392.41,10
Ethiopia,Gornji Grad,1971.17,10
South Africa,Paris 08,2233.93,10
United States,Sveg,2251.61,10
Vietnam,Saratak,2183.89,10
Bosnia and Herzegovina,Ruse,2559.82,10
China,Waterloo,1791.14,10
Russia,Chancay,2611.91,10
Russia,Tyoply Stan,2362.06,10
Brazil,Hejia,2017.02,10
Peru,Coyah,2144.04,10
Poland,Stockholm,2293.46,10
China,Dolgoderevenskoye,3228.10,10
China,Marondera,2104.73,10
China,Opechenskiy Posad,2550.79,10
China,Manogay,2714.53,10
Colombia,Dianwan,2389.62,10
China,Borda da Mata,2716.45,10
Nigeria,Cergy-Pontoise,2005.73,10
Japan,Costa de Rios Frios,3546.42,10
Colombia,São Gonçalo do Amarante,3223.31,10
Tanzania,Xinshidu,2987.71,10
Peru,Lingqiao,2523.55,10
Japan,Santa Cruz,2850.72,10
Indonesia,Ampasimanolotra,1683.72,10
Poland,Syktyvkar,2353.98,10
Indonesia,Louny,2838.27,10
Pakistan,Jemielno,3005.27,10
Uganda,Aquitania,2297.07,10
Indonesia,Pancanagara,2683.47,10
Russia,Tomohon,2709.29,10
China,La Rochelle,2650.47,10
Poland,Sidrolândia,3081.97,10
Australia,Fontem,3397.65,10
France,Wolomoni,2652.50,10
Mexico,Hevlín,3473.97,10
Indonesia,Shilibu,2367.32,10
France,Notre Dame,2264.69,10
France,Yujiawu,2744.49,10
Thailand,Sijihong,2797.65,10
United States,Paupanda Bawah,2126.51,10
China,Kliteh,2204.17,10
China,San Antonio,1607.62,10
Peru,Lille,2567.71,10
Russia,Kurortnyy,2430.24,10
South Africa,Morangis,2536.98,10
Philippines,Itaperuçu,1546.05,10
Russia,Milot,2152.09,10
China,Santa Bárbara,2680.11,10
Indonesia,Gueset,2460.50,10
Japan,Beizi,2083.33,10
United States,Bojen Kulon,3358.45,10
Czech Republic,Wudangshan,3051.59,10
Indonesia,Pulupandan,3269.42,10
Mongolia,Pak Phanang,2613.50,10
Indonesia,Zamora,2837.12,10
China,Nagcarlan,2817.19,10
Colombia,Kostakioí,2107.60,10
China,Kapsan-ŭp,2768.35,10
Ukraine,Ovalle,2843.03,10
Syria,Banjar Dauhpura,2136.10,10
Syria,Kalipare,2113.17,10
East Timor,Gosen,1551.83,10
Venezuela,Gambut,2253.86,10
Honduras,Pantaihambawang,2566.33,10
Russia,Pirajuí,2748.66,10
China,Pavlovka,2391.04,10
Yemen,Coratatal,2383.10,10
Brazil,Czerniewice,1792.39,10
Greece,San Juan,2685.69,10
China,Salima,2653.89,10
Portugal,Cervantes,3172.06,10
Pakistan,Koffiefontein,2629.93,10
Indonesia,Mörrum,2385.64,10
Sweden,Tumpang Satu,2083.55,10
Portugal,Shangmachang,2136.58,10
Indonesia,Shihuajian,2947.96,10
Russia,Santa Rosa,2655.18,10
France,Roma,2606.93,10
Philippines,Gaojingzhuang,2387.48,10
Botswana,Iperu,3105.86,10
Kyrgyzstan,Fayzabad,2676.22,10
Zimbabwe,Sukosari,2167.77,10
Indonesia,Malasiqui,2784.57,10
Indonesia,Bitam,3232.54,10
Iraq,Yacheng,2655.09,10
Canada,Cisantri,2236.94,10
China,Jiangxigou,3292.60,10
Russia,Jatinagara,2428.74,10
China,Sułkowice,2305.65,10
Ukraine,Camargo,2659.48,10
Canada,Wuma,2727.45,10
France,Phuthaditjhaba,2964.14,10
Mexico,Bakuriani,2913.01,10
China,Gondomar,2271.94,10
Ukraine,Fengle,2590.72,10
China,Qandala,2389.08,10
Nigeria,Peoria,2590.23,10
Latvia,Míthymna,2548.01,10
Dominican Republic,Moro,2051.62,10
Dominican Republic,Kabarnet,3151.61,10
Mongolia,Sant Julià de Lòria,2728.65,10
China,Macroom,1901.26,10
Brazil,Xiangba,2192.10,10
